AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,CODPERSO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209,P210,P211A,P211D,P212,P213,P214,P215,P216,P217,T211,OCUPAC_R3,OCUPAC_R4,RAMA_R3,RAMA_R4,CODTAREA,CODTIEMPO,TICUEST01,FACPOB
2025,01,015009,012,11,010101,4,4,01,20250150090121101,1,1,1,1,2, ,1,45, ,5, , , ,1,1,1, , , , , , , , , , ,2,333.512304028555
2025,01,015009,012,11,010101,4,4,02,20250150090121102,3,1,3,1,2, ,2,20, ,6, , , ,2,2,2, , , , , , , , , , ,2,380.999876429869
2025,01,015009,025,11,010101,4,4,01,20250150090251101,1,1,1,1,2, ,1,42, ,1, , , ,1,1,1, , , , , , , , , , ,2,495.705946509763
2025,01,015009,025,11,010101,4,4,02,20250150090251102,2,1,2,1,2, ,2,36, ,1, , , ,2,2,2, , , , , , , , , , ,2,426.265172601004
2025,01,015009,025,11,010101,4,4,03,20250150090251103,3,1,3,1,2, ,2,18, ,6, , , ,3,3,3, , , , , , , , , , ,2,380.999876429869
2025,01,015009,025,11,010101,4,4,04,20250150090251104,3,1,3,1,2, ,2,16, ,6,2,10, ,4,4,4, , , ,11, , , , , , ,2,380.999876429869
2025,01,015009,025,11,010101,4,4,05,20250150090251105,3,1,3,1,2, ,2,8, , ,2,10, ,5,5,0, , , ,11, , , , , , ,2,444.529335116163
2025,01,015009,025,11,010101,4,4,06,20250150090251106,3,1,3,1,2, ,2,8, , ,2,10, ,6,6,0, , , ,11, , , , , , ,2,444.529335116163
2025,01,015009,049,11,010101,4,4,01,20250150090491101,1,1,1,1,2, ,2,44, ,5, , , ,1,1,1, , , , , , , , , , ,2,426.265172601004
2025,01,015009,049,11,010101,4,4,02,20250150090491102,3,1,3,1,2, ,1,24, ,6, , , ,2,2,2, , , , , , , , , , ,2,407.212856337263
2025,01,015009,049,11,010101,4,4,03,20250150090491103,3,1,3,1,2, ,1,5, , ,2,10, ,3,3,0, , , ,11, , , , , , ,2,411.235551302208
2025,01,015009,061,11,010101,4,4,01,20250150090611101,1,0,1,1,2, ,2,78, ,3, , , ,1,1,1, , , , , , , , , , ,2,214.439745409305
2025,01,015009,074,11,010101,4,4,01,20250150090741101,1,1,1,1,2, ,2,33, ,1, , , ,1,1,1, , , , , , , , , , ,2,426.265172601004
2025,01,015009,074,11,010101,4,4,02,20250150090741102,2,1,2,1,2, ,1,27, ,1, , , ,2,2,2, , , , , , , , , , ,2,495.705946509763
2025,01,015009,074,11,010101,4,4,03,20250150090741103,3,1,3,1,2, ,2,0,3, , , , ,0,3,0, , , , , , , , , , ,2,444.529335116163
2025,01,015009,086,11,010101,4,4,01,20250150090861101,1,1,1,1,2, ,2,64, ,5, , , ,1,1,1, , , , , , , , , , ,2,292.797341172932
2025,01,015009,086,11,010101,4,4,02,20250150090861102,3,1,3,1,2, ,2,25, ,6, , , ,2,2,2, , , , , , , , , , ,2,426.265172601004
2025,01,015009,121,11,010101,4,4,01,20250150091211101,1,0,1,1,2, ,2,62, ,3, , , ,1,1,1, , , , , , , , , , ,2,292.797341172932
